Fecha,Clics,Impresiones,CTR,Posición
2026-03-25,0,0,,
2026-03-26,0,1,0%,5
2026-03-27,0,17,0%,4.2
2026-03-28,0,3,0%,11.3
2026-03-29,0,2,0%,1.5
2026-03-30,1,3,33.33%,4.3
2026-03-31,0,1,0%,11
2026-04-01,1,6,16.67%,5.8
2026-04-02,1,1,100%,2
2026-04-03,0,12,0%,3.8
2026-04-04,0,3,0%,34.7
2026-04-05,0,1,0%,80
2026-04-06,1,8,12.5%,5
2026-04-07,0,5,0%,34.8
2026-04-08,0,1,0%,76
2026-04-09,1,6,16.67%,14.7
2026-04-10,2,7,28.57%,3.7
2026-04-11,0,0,,
2026-04-12,0,5,0%,20.6
2026-04-13,1,5,20%,17.8
2026-04-14,0,22,0%,7.4
2026-04-15,1,16,6.25%,8.3
2026-04-16,1,39,2.56%,7.1
2026-04-17,0,45,0%,10.7
2026-04-18,1,23,4.35%,8.7
2026-04-19,1,53,1.89%,6.4
2026-04-20,0,44,0%,8
2026-04-21,0,46,0%,6
2026-04-22,0,46,0%,7.7
2026-04-23,0,37,0%,8.9
2026-04-24,2,35,5.71%,7.4
2026-04-25,0,18,0%,7.3
2026-04-26,1,30,3.33%,5.8
2026-04-27,2,40,5%,7.8
2026-04-28,1,41,2.44%,6.7
2026-04-29,1,47,2.13%,8.2
2026-04-30,0,39,0%,5.8
2026-05-01,2,38,5.26%,10.7
2026-05-02,0,22,0%,9.7
2026-05-03,0,28,0%,6.7
2026-05-04,2,36,5.56%,7.1
2026-05-05,0,54,0%,7.9
2026-05-06,2,77,2.6%,6.9
2026-05-07,0,33,0%,11.3
2026-05-08,0,38,0%,6.5
2026-05-09,1,31,3.23%,6.3
2026-05-10,1,32,3.12%,5.4
2026-05-11,1,74,1.35%,6.3
