País,Clics,Impresiones,CTR,Posición
España,19,995,1.91%,8.19
Alemania,2,10,20%,4.3
Países Bajos,2,5,40%,3.2
Estados Unidos,1,81,1.23%,3.33
Brasil,1,3,33.33%,3.33
Malasia,1,2,50%,1
Portugal,1,2,50%,2
Turquía,1,1,100%,1
Reino Unido,0,13,0%,9.69
Francia,0,11,0%,6.73
Suiza,0,6,0%,4.33
Bélgica,0,5,0%,14
Italia,0,5,0%,22.8
Irlanda,0,4,0%,6
Noruega,0,3,0%,4
Canadá,0,3,0%,6.67
Suecia,0,2,0%,3.5
Bulgaria,0,2,0%,6
Pakistán,0,2,0%,8.5
Austria,0,2,0%,10.5
China,0,1,0%,1
Colombia,0,1,0%,1
Finlandia,0,1,0%,1
Polonia,0,1,0%,1
Rusia,0,1,0%,1
Dinamarca,0,1,0%,2
La India,0,1,0%,5
Georgia,0,1,0%,6
Rumanía,0,1,0%,6
Egipto,0,1,0%,7
Sudáfrica,0,1,0%,10
Venezuela,0,1,0%,11
Marruecos,0,1,0%,34
Andorra,0,1,0%,52
